,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
190,2.0,0.0,-1.0,-1.0,-3.0,-2.0,-2.0,-2.0,1650479186051686.0
191,1.0,6.0,-8.0,-2.0,-1.0,-2.0,-2.0,-1.0,1650479186051686.0
192,-3.0,-4.0,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,1650479186053580.0
193,0.0,-1.0,-2.0,-4.0,0.0,2.0,0.0,1.0,1650479186053580.0
194,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,1650479186065956.0
195,1.0,0.0,-1.0,-1.0,-2.0,-1.0,-1.0,0.0,1650479186065956.0
196,-1.0,1.0,-4.0,0.0,0.0,0.0,-2.0,-1.0,1650479186073363.0
197,-1.0,0.0,2.0,-1.0,1.0,-1.0,0.0,0.0,1650479186073363.0
198,0.0,-3.0,-6.0,-7.0,-3.0,0.0,-1.0,-3.0,1650479186089091.0
199,1.0,-2.0,2.0,-1.0,0.0,-1.0,0.0,-1.0,1650479186089091.0
200,-4.0,-4.0,1.0,4.0,2.0,-1.0,0.0,-1.0,1650479186091212.0
201,-1.0,-1.0,-5.0,-4.0,-3.0,-1.0,-1.0,0.0,1650479186091212.0
202,-3.0,1.0,2.0,-2.0,-1.0,-1.0,-1.0,0.0,1650479186112012.0
203,-1.0,-2.0,1.0,2.0,0.0,0.0,0.0,0.0,1650479186112012.0
204,1.0,1.0,3.0,3.0,0.0,0.0,-1.0,1.0,1650479186113013.0
205,1.0,-2.0,-10.0,-9.0,-4.0,-2.0,-2.0,0.0,1650479186113013.0
206,-2.0,-2.0,5.0,2.0,0.0,-1.0,0.0,0.0,1650479186126001.0
207,-3.0,-3.0,-2.0,-2.0,-1.0,0.0,0.0,-1.0,1650479186126001.0
208,0.0,0.0,7.0,6.0,0.0,-3.0,0.0,-1.0,1650479186133529.0
209,-1.0,-1.0,1.0,4.0,1.0,2.0,0.0,0.0,1650479186133529.0
210,2.0,1.0,-5.0,-6.0,1.0,0.0,-1.0,1.0,1650479186156803.0
211,-2.0,1.0,3.0,1.0,0.0,-2.0,-1.0,1.0,1650479186156803.0
212,-1.0,-1.0,-3.0,-3.0,-2.0,-2.0,0.0,0.0,1650479186158798.0
213,1.0,-2.0,-5.0,0.0,-2.0,-1.0,-1.0,-1.0,1650479186158798.0
214,-3.0,-5.0,6.0,4.0,1.0,0.0,0.0,0.0,1650479186172063.0
215,-1.0,0.0,6.0,4.0,0.0,1.0,-1.0,-1.0,1650479186172063.0
216,-4.0,-8.0,-3.0,-7.0,-1.0,1.0,-1.0,0.0,1650479186173062.0
217,0.0,2.0,3.0,4.0,1.0,-1.0,-1.0,0.0,1650479186173062.0
218,-3.0,-5.0,-4.0,-3.0,-2.0,-2.0,0.0,0.0,1650479186186336.0
219,-1.0,-3.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,1650479186186336.0
220,-2.0,1.0,-3.0,-2.0,-1.0,0.0,-1.0,0.0,1650479186193156.0
221,-1.0,-1.0,-3.0,-2.0,0.0,0.0,-1.0,-1.0,1650479186193156.0
222,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1650479186208154.0
223,0.0,-1.0,1.0,2.0,0.0,-2.0,0.0,-1.0,1650479186208154.0
224,0.0,2.0,-5.0,-6.0,-2.0,1.0,-1.0,1.0,1650479186217006.0
225,-1.0,-1.0,7.0,4.0,-2.0,-1.0,0.0,1.0,1650479186217006.0
226,1.0,2.0,-2.0,0.0,-1.0,1.0,0.0,-2.0,1650479186231909.0
227,-1.0,-1.0,-5.0,-3.0,-1.0,0.0,-1.0,-3.0,1650479186231909.0
228,1.0,3.0,4.0,3.0,-1.0,-2.0,-2.0,-1.0,1650479186232748.0
229,-3.0,-6.0,1.0,-5.0,1.0,-1.0,0.0,-1.0,1650479186232748.0
230,1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1650479186254156.0
231,1.0,-2.0,-3.0,1.0,-4.0,-1.0,-2.0,0.0,1650479186254156.0
232,0.0,-1.0,-3.0,-1.0,-1.0,-2.0,-1.0,0.0,1650479186256156.0
233,0.0,1.0,-3.0,-1.0,0.0,1.0,0.0,0.0,1650479186256156.0
234,-2.0,2.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,1650479186268141.0
235,1.0,-1.0,-1.0,0.0,0.0,1.0,-2.0,1.0,1650479186268141.0
236,0.0,-1.0,0.0,2.0,-1.0,-1.0,0.0,-1.0,1650479186276994.0
237,-3.0,-2.0,-1.0,-6.0,-3.0,0.0,-1.0,0.0,1650479186276994.0
238,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1650479186292086.0
239,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,1650479186292086.0
240,-2.0,-8.0,10.0,7.0,3.0,1.0,0.0,2.0,1650479186293085.0
241,1.0,4.0,0.0,0.0,1.0,-1.0,0.0,-1.0,1650479186293085.0
242,-1.0,1.0,-2.0,0.0,0.0,1.0,-1.0,0.0,1650479186314687.0
243,-1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1650479186314687.0
244,-1.0,2.0,-8.0,-4.0,0.0,-1.0,0.0,-1.0,1650479186315691.0
245,2.0,4.0,6.0,2.0,-2.0,-2.0,0.0,-2.0,1650479186315691.0
246,-1.0,-3.0,-6.0,-2.0,0.0,0.0,0.0,0.0,1650479186336694.0
247,0.0,1.0,3.0,1.0,-2.0,0.0,-2.0,-1.0,1650479186336694.0
248,1.0,2.0,-4.0,-2.0,-1.0,2.0,-1.0,0.0,1650479186338538.0
249,0.0,2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1650479186338538.0
250,-1.0,0.0,-3.0,-6.0,-2.0,-2.0,0.0,0.0,1650479186351727.0
251,0.0,1.0,-3.0,0.0,2.0,1.0,-1.0,-1.0,1650479186351727.0
252,0.0,0.0,3.0,2.0,-1.0,-1.0,0.0,-1.0,1650479186353687.0
253,-3.0,-2.0,2.0,-1.0,-1.0,-2.0,-2.0,0.0,1650479186353687.0
254,-1.0,0.0,2.0,1.0,1.0,0.0,0.0,-1.0,1650479186374654.0
255,-1.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,-1.0,1650479186374654.0
256,-1.0,-1.0,-4.0,-4.0,-1.0,-1.0,-1.0,-1.0,1650479186375654.0
257,2.0,-1.0,-4.0,1.0,0.0,0.0,-1.0,-1.0,1650479186375654.0
258,0.0,2.0,-2.0,-3.0,0.0,0.0,-1.0,1.0,1650479186396964.0
259,1.0,-1.0,1.0,-2.0,0.0,-1.0,0.0,0.0,1650479186396964.0
260,0.0,-2.0,-2.0,1.0,-2.0,-1.0,0.0,-2.0,1650479186397861.0
261,0.0,-1.0,-2.0,-2.0,0.0,1.0,-1.0,-2.0,1650479186397861.0
262,-1.0,-1.0,1.0,0.0,-3.0,-3.0,-1.0,0.0,1650479186411961.0
263,-3.0,-6.0,13.0,13.0,3.0,-1.0,1.0,-1.0,1650479186411961.0
264,-2.0,0.0,-8.0,-8.0,0.0,-1.0,-1.0,1.0,1650479186412960.0
265,-1.0,-2.0,-1.0,3.0,-2.0,-1.0,-1.0,-1.0,1650479186412960.0
266,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-1.0,1650479186434590.0
267,-1.0,0.0,-2.0,-4.0,-1.0,-1.0,0.0,0.0,1650479186434590.0
268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650479186435939.0
269,-3.0,0.0,3.0,-1.0,0.0,1.0,0.0,0.0,1650479186435939.0
270,1.0,-1.0,-1.0,4.0,-1.0,-1.0,0.0,-1.0,1650479186457090.0
271,-1.0,2.0,2.0,-2.0,-1.0,-1.0,-1.0,1.0,1650479186457090.0
272,-1.0,-1.0,-3.0,-2.0,-1.0,0.0,-1.0,0.0,1650479186457955.0
273,-1.0,-1.0,-3.0,2.0,0.0,-1.0,-1.0,0.0,1650479186457955.0
274,-3.0,-4.0,4.0,0.0,1.0,-2.0,0.0,0.0,1650479186470921.0
275,-4.0,-5.0,-4.0,-4.0,-1.0,-2.0,0.0,-2.0,1650479186470921.0
276,0.0,0.0,2.0,4.0,0.0,-1.0,-3.0,-1.0,1650479186478039.0
277,-1.0,-3.0,1.0,-4.0,0.0,0.0,-1.0,-2.0,1650479186478039.0
278,0.0,0.0,2.0,1.0,-1.0,-1.0,1.0,-1.0,1650479186494665.0
279,-1.0,-1.0,-6.0,-6.0,-2.0,-1.0,0.0,-1.0,1650479186494665.0
280,1.0,1.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1650479186495664.0
281,-1.0,0.0,-2.0,2.0,-2.0,0.0,-1.0,0.0,1650479186495664.0
282,0.0,0.0,0.0,-3.0,0.0,1.0,-1.0,2.0,1650479186517161.0
283,0.0,2.0,-1.0,1.0,0.0,-1.0,0.0,1.0,1650479186517161.0
284,0.0,2.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,1650479186518001.0
285,1.0,-1.0,-1.0,-1.0,-2.0,-1.0,1.0,1.0,1650479186518001.0
286,1.0,3.0,-1.0,0.0,-4.0,0.0,0.0,-1.0,1650479186531136.0
287,1.0,-1.0,-5.0,-5.0,0.0,0.0,0.0,0.0,1650479186531136.0
288,0.0,6.0,2.0,0.0,-3.0,-2.0,-1.0,-2.0,1650479186538053.0
289,0.0,-2.0,-5.0,-3.0,2.0,-1.0,0.0,0.0,1650479186538053.0
290,-1.0,-1.0,10.0,7.0,0.0,-1.0,-2.0,-1.0,1650479186554783.0
